16.02.01;Accueil;
16.02.02;Carte / Plan;
16.02.03;Circuit;
16.02.04;Encadrement;
16.02.05;Evénementiel;
16.02.06;Gastronomie;
16.02.07;Hébergements,  Restauration et Equipements d'Accueil;
16.02.08;Informations commerciales;
16.02.09;Informations complémentaires;
16.02.10;Informations sur le circuit;
16.02.11;Insolite;
16.02.12;Itinéraire;
16.02.13;Loisirs;
16.02.14;Marchés;
16.02.15;Patrimoine;
16.02.16;Patrimoine historique;
16.02.17;Patrimoine naturel;
16.02.18;Prestations;
16.02.19;Suggestion d'itinéraire;
16.02.20;Type de Cuisine;
16.02.21;Vie Locale;
16.02.22;Visites;
16.02.23;Visites groupes;
16.02.24;Visites individuels;
16.02.25;Services;
16.02.26;Réservations;
16.02.101;Orientation;
16.02.102;Développement durable;
16.02.103;Conditions de vol;